powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct
1001000,Powiat bełchatowski,2024,1919.0,108003.0,968.0,111.57,52716.0,55287.0,95.35,15864.0,33083.0,29028.0,-596.0,-0.55,1776.8,17.77,0.1469,0.3063,0.2688,suburban,very_large,83.40999999999985,4.93
1002000,Powiat kutnowski,2024,1561.0,89709.0,887.0,101.14,42965.0,46744.0,91.92,12835.0,25289.0,25675.0,-962.0,-1.06,1740.07,17.4,0.1431,0.2819,0.2862,suburban,large,-94.02999999999997,-5.13
1003000,Powiat łaski,2024,1130.0,48498.0,618.0,78.48,23575.0,24923.0,94.59,7237.0,14222.0,13118.0,-244.0,-0.5,2329.99,23.3,0.1492,0.2932,0.2705,rural,medium,977.9699999999998,72.33
1004000,Powiat łęczycki,2024,680.0,46137.0,773.0,59.69,22439.0,23698.0,94.69,7144.0,12695.0,12798.0,-529.0,-1.13,1473.87,14.74,0.1548,0.2752,0.2774,rural,medium,138.8499999999999,10.4
1005000,Powiat łowicki,2024,1132.0,73368.0,988.0,74.26,35446.0,37922.0,93.47,11536.0,20667.0,19664.0,-641.0,-0.87,1542.91,15.43,0.1572,0.2817,0.268,rural,large,-791.9399999999998,-33.92
1006000,Powiat łódzki wschodni,2024,911.0,75149.0,500.0,150.3,36119.0,39030.0,92.54,11571.0,22171.0,19985.0,443.0,0.59,1212.26,12.12,0.154,0.295,0.2659,suburban,large,-365.93000000000006,-23.19
1007000,Powiat opoczyński,2024,879.0,71234.0,1040.0,68.49,35088.0,36146.0,97.07,12184.0,19726.0,18680.0,-542.0,-0.76,1233.96,12.34,0.171,0.2769,0.2622,rural,large,63.65000000000009,5.44
1008000,Powiat pabianicki,2024,4178.0,118704.0,492.0,241.27,56051.0,62653.0,89.46,16431.0,35969.0,31248.0,-362.0,-0.3,3519.68,35.2,0.1384,0.303,0.2632,suburban,very_large,2183.45,163.4
1009000,Powiat pajęczański,2024,408.0,48086.0,804.0,59.81,23875.0,24211.0,98.61,7697.0,13459.0,13141.0,-489.0,-1.01,848.48,8.48,0.1601,0.2799,0.2733,rural,medium,-117.03999999999996,-12.12
1010000,Powiat piotrkowski,2024,1003.0,89717.0,1429.0,62.78,44171.0,45546.0,96.98,15427.0,25967.0,22874.0,-404.0,-0.45,1117.96,11.18,0.172,0.2894,0.255,rural,large,-118.15999999999985,-9.56
