powiat_code,powiat_name,area_min,area_max,area_mean,area_std,area_changed
3014000,Powiat międzychodzki,736,736,736.0,0.0,False
3015000,Powiat nowotomyski,1012,1014,1013.5,0.9045340337332809,True
3016000,Powiat obornicki,711,711,711.0,0.0,False
3017000,Powiat ostrowski,1160,1160,1160.0,0.0,False
3018000,Powiat ostrzeszowski,773,773,773.0,0.0,False
3019000,Powiat pilski,1266,1268,1267.5,0.9045340337332619,True
3020000,Powiat pleszewski,713,713,713.0,0.0,False
3021000,Powiat poznański,1900,1900,1900.0,0.0,False
3022000,Powiat rawicki,553,554,553.75,0.45226701686663096,True
3023000,Powiat słupecki,838,838,838.0,0.0,False
3024000,Powiat szamotulski,1119,1119,1119.0,0.0,False
3025000,Powiat średzki,623,624,623.75,0.45226701686663096,True
3026000,Powiat śremski,574,574,574.0,0.0,False
3027000,Powiat turecki,929,930,929.25,0.45226701686663096,True
3028000,Powiat wągrowiecki,1040,1040,1040.0,0.0,False
3029000,Powiat wolsztyński,680,680,680.0,0.0,False
3030000,Powiat wrzesiński,704,704,704.0,0.0,False
3031000,Powiat złotowski,1660,1661,1660.25,0.45226701686670817,True
3061000,Powiat m. Kalisz,69,69,69.0,0.0,False
3062000,Powiat m. Konin,82,82,82.0,0.0,False
3063000,Powiat m. Leszno,32,32,32.0,0.0,False
3064000,Powiat m. Poznań,262,262,262.0,0.0,False
3201000,Powiat białogardzki,845,846,845.0833333333334,0.28867513459481103,True
3202000,Powiat choszczeński,1328,1328,1328.0,0.0,False
3203000,Powiat drawski,1761,1764,1763.75,0.8660254037844386,True
3204000,Powiat goleniowski,1615,1616,1615.75,0.45226701686670817,True
3205000,Powiat gryficki,1017,1021,1019.0,2.0889318714683647,True
3206000,Powiat gryfiński,1869,1870,1869.75,0.45226701686670817,True
3207000,Powiat kamieński,1003,1008,1005.25,2.378884383296269,True
3208000,Powiat kołobrzeski,725,728,725.75,1.3568010505999515,True
3209000,Powiat koszaliński,1646,1653,1652.0,2.374102701309177,True
3210000,Powiat myśliborski,1182,1182,1182.0,0.0,False
3211000,Powiat policki,664,665,664.75,0.45226701686663096,True
3212000,Powiat pyrzycki,726,726,726.0,0.0,False
3213000,Powiat sławieński,1043,1043,1043.0,0.0,False
3214000,Powiat stargardzki,1520,1523,1520.25,0.8660254037844386,True
3215000,Powiat szczecinecki,1766,1766,1766.0,0.0,False
3216000,Powiat świdwiński,1093,1093,1093.0,0.0,False
3217000,Powiat wałecki,1415,1415,1415.0,0.0,False
3218000,Powiat łobeski,1065,1065,1065.0,0.0,False
3261000,Powiat m. Koszalin,98,106,99.33333333333333,3.1139957766460893,True
3262000,Powiat m. Szczecin,301,301,301.0,0.0,False
3263000,Powiat m. Świnoujście,197,202,199.91666666666666,2.5746432527221828,True
